% Titel:  Up2U10.dat 
% Doel:	  Transformatie van potentiële wind naar de windsnelheid op 10 m hoogte.
% Bron:   Gebruikershandleiding HB Havens - versie 23.1.1 en referenties daarin.
% Datum:  29 september 2023
% Auteur: M.P. Benit
% Upot [m/s]	U10 oud [m/s]	U10 nieuw [m/s]	U10 Bretschneider [m/s]
 0.00	 0.00	 0.00	 0.00
 1.00	 1.12	 1.12	 1.12
 2.00	 2.25	 2.25	 2.25
 3.00	 3.37	 3.37	 3.37
 4.00	 4.49	 4.49	 4.49
 5.00	 5.61	 5.61	 5.61
 6.00	 6.74	 6.74	 6.74
 7.00	 7.86	 7.86	 7.86
 8.00	 8.97	 8.97	 8.97
 9.00	10.06	10.06	10.06
10.00	11.14	11.14	11.14
11.00	12.21	12.21	12.21
12.00	13.28	13.28	13.28
13.00	14.34	14.34	14.34
14.00	15.39	15.39	15.39
15.00	16.44	16.44	16.44
16.00	17.49	17.49	17.49
17.00	18.53	18.53	18.53
18.00	19.56	19.56	19.56
19.00	20.59	20.59	20.59
20.00	21.62	21.62	21.62
21.00	22.64	22.64	22.64
22.00	23.66	23.66	23.66
23.00	24.68	24.68	24.68
24.00	25.69	25.69	25.69
25.00	26.69	26.69	26.69
26.00	27.69	27.69	27.69
27.00	28.69	28.69	28.69
28.00	29.69	29.69	29.69
29.00	30.68	30.73	30.54
30.00	31.67	31.79	31.31
31.00	32.65	32.85	32.07
32.00	33.64	33.91	32.83
33.00	34.62	34.97	33.58
34.00	35.59	36.02	34.31
35.00	36.56	37.08	35.05
36.00	37.53	38.14	35.78
37.00	38.50	39.20	36.50
38.00	39.47	40.26	37.21
39.00	40.43	41.32	37.92
40.00	41.39	42.38	38.62
41.00	42.34	43.44	39.32
42.00	43.30	44.50	40.02
43.00	44.25	45.56	40.70
44.00	45.20	46.62	41.38
45.00	46.14	47.68	42.06
46.00	47.08	48.74	42.73
47.00	48.03	49.80	43.40
48.00	48.96	50.86	44.06
49.00	49.90	51.92	44.72
50.00	50.83	52.98	45.37
